Index,Server,Path,Artist,Album,Song,Genre,Type
1,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,01 Massachusettes.aiff,Folk,Vinyl
2,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,02 New York Mining Disaster 1941.aiff,Folk,Vinyl
3,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,03 Spicks And Specks.aiff,Folk,Vinyl
4,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,04 To Love Somebody.aiff,Folk,Vinyl
5,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,05 Words.aiff,Folk,Vinyl
6,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,07 Every Christian Lion Hearted Man.aiff,Folk,Vinyl
7,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,08 First Of May.aiff,Folk,Vinyl
8,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,09 Holliday.aiff,Folk,Vinyl
9,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,10 I Cant see Nobody.aiff,Folk,Vinyl
10,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,11 I Started A Joke.aiff,Folk,Vinyl
11,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Best Of The BeeGees,12 I Got To Get A Message To You.aiff,Folk,Vinyl
12,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,01 Charade.aiff,Rock,Vinyl
13,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,01 side 1.aiff,Rock,Vinyl
14,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,02 side 2.aiff,Rock,Vinyl
15,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,02 Throw a Penny.aiff,Rock,Vinyl
16,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,03 The Voices.aiff,Rock,Vinyl
17,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,04 Give a Hand Take a Hand.aiff,Rock,Vinyl
18,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,05 Dogs.aiff,Rock,Vinyl
19,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,06 Mr Natural.aiff,Rock,Vinyl
20,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,07 Lost In Your Love.aiff,Rock,Vinyl
21,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,08 I Can't Let You Go.aiff,Rock,Vinyl
22,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,09 Heavy Breathing.aiff,Rock,Vinyl
23,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,Bee Gees,Mr. Natural,10 Had Alot of Love Last Night.aiff,Rock,Vinyl
24,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles Again(Hey Jude),01 Can't Buy Me Love.aiff,Rock,Vinyl
25,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles Again(Hey Jude),02 I should Have Known Better.aiff,Rock,Vinyl
26,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles Again(Hey Jude),03 Paper Back Writer.aiff,Rock,Vinyl
27,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles Again(Hey Jude),04 Rain.aiff,Rock,Vinyl
28,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles Again(Hey Jude),05 Lady Madonna.aiff,Rock,Vinyl
29,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles Again(Hey Jude),06 Revolution.aiff,Rock,Vinyl
30,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles Again(Hey Jude),07 Hey Jude.aiff,Rock,Vinyl
31,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles Again(Hey Jude),08 Old Brown Shoe.aiff,Rock,Vinyl
32,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles Again(Hey Jude),09 Don't Let Me Down.aiff,Rock,Vinyl
