"index","artist","genre"
0,"_ & The Mysterians","Rock"
1,"18 South","Rock"
2,"A Fielder Boston Pops","Classic"
3,"ADELE","Pop"
4,"Aerosmith","Rock"
5,"Al DiMeola","Pop"
6,"Alabama","Country"
7,"Alex Hargreaves","Pop"
8,"Alexander","Pop"
9,"Alfred Hause And His Vienna Waltz Country Ballroom Orchestra","Classic"
10,"Alice Cooper","Rock"
11,"Alison Krauss","Country"
12,"Alison Krauss & Union Station","Country"
13,"Aloe Blacc","Pop"
14,"Alvin Lee","Blues"
15,"Alvin Lee & Ten Years Later","Blues"
16,"America","Rock"
17,"Andre Kostelanetz and his orchestra","Classic"
18,"Tim O'Brien","BlueGrass"
19,"Angèle Dubeau & La Pietà","Classic"
20,"Antonio Vivaldi","Classic"
21,"Antony & The Johnsons","Folk"
22,"Arcade Fire","Pop"
23,"Aretha Franklin","Soul"
24,"Arlo Guthrie","Folk"
25,"Armik","Pop"
26,"Asleep At the Wheel","TexMex"
27,"Assassin","Pop"
28,"Average White Band","Rock"
29,"Bachman-Turner Overdrive","Rock"
30,"Bad Company","Rock"
31,"Badfinger","Rock"
32,"Barry McGuire","Folk"
33,"Beady Eye","Pop"
34,"Beatles","Rock"
35,"Bee Gees","Folk"
36,"Ben E. King","Rock"
37,"Ben Harper","Rock"
38,"Benedetti & Svoboda","Pop"
39,"Big Brother & the Holding Company_Janis Joplin","Rock"
40,"Bill Haley & His Comets","RockaBilly"
41,"Bill Perry","Rock"
42,"Bill Withers","Rock"
43,"Billy Holliday","Jazz"
44,"Billy Joel","Rock"
45,"Billy Lee Riley","RockaBilly"
46,"Bing Crosby","Holiday"
47,"Blood Sweat & Tears","Rock"
48,"Blue Swede","Rock"
49,"Blues Image","Rock"
50,"Bob Dylan","Folk"
51,"Bob Dylan & The Band","Folk"
52,"Bob Forrest","Folk"
53,"Bob Marley","Regae"
54,"Bob Marley & The Wailers","Regae"
55,"Bob Seger","Rock"
56,"Bobby Darin","Rock"
57,"Bobby Rydell","Rock"
58,"Bon Jovi","Rock"
59,"Booker T. & The MG's","Rock"
60,"Booker T. Jones","Rock"
61,"Boston","Rock"
62,"Boxcar Willie","Country"
63,"Boz Scaggs","Rock"
64,"Branford Marsalis","Jazz"
65,"Branford Marsalis & Orpheus Chamber Orchestra","Jazz"
66,"Brecker Bothers","Jazz"
67,"Brecker Bothers Band","Jazz"
68,"Brecker Brothers","Jazz"
69,"Brecker Brothers Band","Jazz"
70,"Brenda Lee","Country"
71,"Brewer & Shipley","Rock"
72,"Bruce Springsteen","Rock"
73,"Buddy Holly","RockaBilly"
74,"Buddy Tate","Jazz"
75,"Buffalo Springfield","Rock"
76,"Calexico & Charlotte Gainsbourg","Folk"
77,"Canned Heat","Rock"
78,"Carl Perkins","RockaBilly"
79,"Carole King","Rock"
80,"Cat Power","Folk"
81,"Cat Stevens","Rock"
82,"Celtic Christmas","Holiday"
83,"Chad & Jeremy","Rock"
84,"Chanel Campbell","Country"
85,"Charles Dutoit, Kyung Wha Chung & Philharmonia Orchestra","Classic"
86,"Charlie Daniels Band","Country"
87,"Charlie Rich","Country"
88,"Cheap Trick","Rock"
89,"Chet Atkins and Hank Snow","Country"
90,"Chicago","Rock"
91,"Chick Corea","Jazz"
92,"Chuck Berry","Rock"
93,"Chuscales","Pop"
94,"Citizen Cope","Rock"
95,"City and Colour","Rock"
96,"Clarence Gatermouth Brown","Blues"
97,"Classics IV","Classic"
98,"Cody Bryant and The Riders Of The Purple Sage","Country"
99,"Cold War Kids","Pop"
100,"Colt Ford","Country"
101,"Commander Cody & His Lost Planet Airmen","Rock"
102,"Cream","Rock"
103,"Creedence Clearwater Revival","Rock"
104,"Crooked Still","BlueGrass"
105,"Crosby, Stills, Nash & Young","Rock"
106,"Dale Hawkins","RockaBilly"
107,"Darius Brubeck","Jazz"
108,"Dave Brubeck","Jazz"
109,"Dave Brubeck Quartet","Jazz"
110,"Dave Edmunds","Rock"
111,"Dave Mason","Rock"
112,"David Allan Coe","Rock"
113,"David Bowie","Rock"
114,"David Bromberg Band","Rock"
115,"Death Cab for Cutie","Pop"
116,"Deep Purple","Rock"
117,"Del Shannon","Rock"
118,"Della Mae","BlueGrass"
119,"Derek & The Dominos","Rock"
120,"Desmond Dekker","Regae"
121,"Devin Duval","Jazz"
122,"Diego Garcia","Pop"
123,"Dierks Bentley","Country"
124,"Dire Straits","Rock"
125,"Dixie Chicks","Country"
126,"Dolly Parton","Country"
127,"Don McLean","Rock"
128,"Donovan","Rock"
129,"Doobie Brothers","Rock"
130,"Dr. John","Rock"
131,"Dropkick Murphys","Rock"
132,"Duke Ellington","Jazz"
133,"Dvorak","Classic"
134,"Eddie Vedder","Rock"
135,"Eddie Vedder & The Million Dollar Bashers","Folk"
136,"Eilen Jewell","Country"
137,"Eldorado","TexMex"
138,"Electric Light Orchestra","Rock"
139,"Elton John","Rock"
140,"Elvis Presley","Holiday"
141,"Emmylou Harris","Country"
142,"Eric Burdon & The Animals","Rock"
143,"Eric Clapton","Rock"
144,"Eric Clapton & B.B. King","Rock"
145,"Eric Clapton, Jeff Beck & The Yardbirds","Rock"
146,"Fleet Foxes","Pop"
147,"Fleetwood Mac","Rock"
148,"Foghat","Rock"
149,"Foy Willing & The Riders Of The Purple Sage","Country"
150,"Francesco de Gregori","Folk"
151,"Frank Sinatra","Pop"
152,"Freddie Notes & The Rudies","Regae"
153,"Freddy Fender","TexMex"
154,"Gary Burton, Steve Swallow, Roy Haynes, Tiger Okoshi","Jazz"
155,"Gary Lewis & The Playboys","Rock"
156,"Gary Puckett & The Union Gap","Rock"
157,"Generationals","Pop"
158,"George Harrison","Rock"
159,"Gerry Rafferty","Rock"
160,"Gillian Welch","Pop"
161,"Glasser","Pop"
162,"Glen Campbell & Rita Coolidge","Country"
163,"Glen Hansard & Markéta Irglová","Folk"
164,"Golden Earring","Pop"
165,"Gordon Lightfoot","Folk"
166,"Grand Funk Railroad","Rock"
167,"Gregg Allman","Rock"
168,"Guns N' Roses","Rock"
169,"Hair","Rock"
170,"Hair Musical","Rock"
171,"Hank Williams","Rock"
172,"Hank Williams, Jr_","Country"
173,"Harry Belafonte","Pop"
174,"Harry Nilsson","Rock"
175,"Heart","Rock"
176,"Herbie Hancock","Jazz"
177,"Hot Tuna","Rock"
178,"Howard Shore","Folk"
179,"Humble Pie","Rock"
180,"Ike and Tina Turner","Rock"
181,"Infamous Stringdusters","BlueGrass"
182,"Iron & Wine","Pop"
183,"Iron & Wine With Calexico","Folk"
184,"Iron Butterfly","Rock"
185,"Iron Butterfly & Vanilla Fudge","Rock"
186,"Jack Ingram","Country"
187,"Jack Johnson","Folk"
188,"Jackson Browne","Rock"
189,"James Gang","Rock"
190,"James Otto","Country"
191,"Jamey Johnson","Country"
192,"Jan & Dean","Rock"
193,"Janis Joplin","Rock"
194,"Jeff Beck","Jazz"
195,"Jeff Tweedy","Folk"
196,"Jefferson Airplane","Rock"
197,"Jeremy Camp","Pop"
198,"Jerry Garcia","Folk"
199,"Jerry Gonzalez & The Fort Apache Band","Rock"
200,"Jerry Jeff Walker","Country"
201,"Jerry Lee Lewis","RockaBilly"
202,"Jesse Cook","Pop"
203,"Jesse Thomas","Rock"
204,"Jessi Colter","Country"
205,"Jessi Colter & Sunny Sweeney","Country"
206,"Jewel","Country"
207,"Jim Croce","Rock"
208,"Jim James & Calexico","Folk"
209,"Jimi Hendrix","Rock"
210,"Jimmy Buffet","Country"
211,"Jimmy Witherspoon","Jazz"
212,"Joan Baez","Folk"
213,"Joe Cocker","Rock"
214,"Joe Henderson","Jazz"
215,"Joe Louis Walker","Jazz"
216,"Joe Walsh","Rock"
217,"John Coltrane","Jazz"
218,"John Coltrane & Johnny Hartman","Jazz"
219,"John Coltrane and Johnny Hartman","Jazz"
220,"John Doe","Folk"
221,"John Fahey","Pop"
222,"John Fahey & His Orchestra","Pop"
223,"John Hiatt","Country"
224,"John Lee Hooker","Blues"
225,"John Lennon","Rock"
226,"John Lennon & The Plastic Ono Band","Rock"
227,"John Mayall","Blues"
228,"John Mayall & The Bluesbreakers","Blues"
229,"John Prine","Folk"
230,"Johnny Cash","Country"
231,"Johnny Mathis","Holiday"
232,"Johnny Nash","Rock"
233,"Johnny Rivers","Rock"
234,"Johnny Winter","Blues"
235,"Jose Luis Encinas","Pop"
236,"José Feliciano","Holiday"
237,"Josh Rouse","Pop"
238,"Josh Thompson","Country"
239,"Journey","Rock"
240,"Judy Collins","Folk"
241,"Julio Iglesias","Classic"
242,"Junip","Pop"
243,"Justin Moore","Country"
244,"k.d. lang and the Siss Boom Bang","Pop"
245,"Kansas","Rock"
246,"Karen O & The Million Dollar Bashers","Folk"
247,"Keith Jarrett","Jazz"
248,"Kris Kristofferson","Country"
249,"Kris Kristofferson & Patty Griffin","Country"
250,"Kris Kristofferson & Rita Coolidge","Country"
251,"LaVern Baker","Folk"
252,"Led Zeppelin","Rock"
253,"Leo Kottke","Pop"
254,"Les McCann","Jazz"
255,"Lesley Gore","Rock"
256,"Less McCann and Eddie Harris","Jazz"
257,"Lester Young","Jazz"
258,"Linda Ronstadt","Country"
259,"Little Dragon","Rock"
260,"Little Eva","Rock"
261,"Little Richard","Rock"
262,"Little River Band","Rock"
263,"Lloyd Price","Rock"
264,"Loggins And Messina","Rock"
265,"Loreena McKennitt","Holiday"
266,"Lori McKenna","Holiday"
267,"Los Bravos","Rock"
