"index","artist","album","genre","type"
0,"18 South","Soulful Southern Roots Music","Rock","Download"
1,"_ & The Mysterians","Cameo Parkway_ The Best of _ & the Mysterians, 1966-1967","Rock","Download"
2,"A Fielder Boston Pops","The Blue Danube","Classic","Download"
3,"ADELE","Rumour Has It - Single","Rock","Download"
4,"Aerosmith","Get a Grip","Rock","Download"
5,"Aerosmith","Gold","Rock","Download"
6,"Aerosmith","Gold_ Aerosmith","Rock","Download"
7,"Aerosmith","My Aerosmith Compilation","Rock","Download"
8,"Al DiMeola","Gypsy Soul_ New Flamenco","Pop","CD"
9,"Alabama","Alabama Greatest Hits","Rock","Download"
10,"Alex Hargreaves","Prelude","Pop","Download"
11,"Alexander","Alexander","Rock","Download"
12,"Alfred Hause And His Vienna Waltz Country Ballroom Orchestra","The Blue Danube Waltz","Classic","Download"
13,"Alice Cooper","Alice Cooper's Greatest Hits","Rock","Download"
14,"Alison Krauss","A Hundred Miles or More - A Collection","Country","Download"
15,"Alison Krauss & Union Station","New Favorite","Country","Download"
16,"Aloe Blacc","I Need a Dollar (How to Make It In America) - EP","Rock","Download"
17,"Alvin Lee","In Tennessee","Rock","Download"
18,"Alvin Lee & Ten Years Later","In Flight","Rock","Download"
19,"Alvin Lee & Ten Years Later","Keep on Rockin'","Rock","Download"
20,"Alvin Lee & Ten Years Later","Live at Rockpalast (Remastered)","Rock","Download"
21,"Alvin Lee & Ten Years Later","Live In Vienna","Rock","Download"
22,"Alvin Lee & Ten Years Later","On The Road To Freedom Alvin Lee & Mylon LeFevre","Rock","Vinyl"
23,"Alvin Lee & Ten Years Later","Rocket Fuel","Rock","Vinyl"
24,"Alvin Lee & Ten Years Later","Still On the Road To Freedom","Rock","Download"
25,"America","America_ The Complete Greatest Hits","Rock","Download"
26,"America","History_ America's Greatest Hits","Rock","Download"
27,"America","The Warner Bros. Years 1971-1977","Rock","Download"
28,"Andre Kostelanetz and his orchestra","Strauss Waltzes","Rock","Download"
29,"Tim O'Brien","Songs from the Mountain","Blue Grass","CD"
30,"Angèle Dubeau & La Pietà","Infernal Violins","Classic","Download"
31,"Antonio Vivaldi","Antonio Vivaldi","Classic","Vinyl"
32,"Antony & The Johnsons","I'm Not There [Disc 2]","Folk","CD"
